/home/luis/PycharmProjects/chameleon_cluster/venv/bin/python /home/luis/PycharmProjects/chameleon_cluster/main.py
Building kNN graph (k = 6)...
100%|██████████| 32/32 [00:00<00:00, 1877.38it/s]
Begin clustering...
%fs 2.1120000164955853e-06
%fs 2.4000001139938832e-06
%fs 6.083200126886368e-05
%fs 2.4000001139938832e-06
%fs 2.368000103160739e-06
%fs 5.4464001208543776e-05
%fs 5.6384000927209855e-05
%fs 5.193600058555603e-05
%fs 5.235200002789497e-05
%fs 5.577600002288818e-05
%fs 5.555199831724167e-05
%fs 2.5919999461621047e-06
%fs 2.4000001139938832e-06
%fs 5.9232000261545185e-05
%fs 2.78400001116097e-06
%fs 2.3360000923275947e-06
%fs 5.3727999329566956e-05
%fs 5.3952001035213474e-05
%fs 5.241600051522255e-05
%fs 5.1392000168561934e-05
%fs 2.5919999461621047e-06
%fs 2.431999891996384e-06
%fs 5.628800019621849e-05
%fs 2.495999913662672e-06
%fs 2.5599999353289604e-06
%fs 5.5456001311540604e-05
%fs 5.9200000017881396e-05
%fs 5.555199831724167e-05
%fs 2.463999902829528e-06
%fs 2.5599999353289604e-06
%fs 6.083200126886368e-05
%fs 2.368000103160739e-06
%fs 2.4000001139938832e-06
%fs 5.369599908590317e-05
%fs 5.62559999525547e-05
%fs 5.436800047755242e-05
%fs 2.368000103160739e-06
%fs 2.463999902829528e-06
%fs 5.8752000331878665e-05
%fs 2.495999913662672e-06
%fs 2.0800000056624415e-06
%fs 5.452800169587135e-05
%fs 5.1392000168561934e-05
%fs 5.603199824690819e-05
%fs 5.430399999022484e-05
%fs 2.976000076159835e-06
%fs 2.463999902829528e-06
%fs 6.0704000294208526e-05
%fs 2.816000021994114e-06
%fs 2.527999924495816e-06
%fs 5.340800061821938e-05
%fs 5.798399820923806e-05
%fs 5.619199946522713e-05
%fs 2.463999902829528e-06
%fs 2.5919999461621047e-06
%fs 5.9744000434875486e-05
%fs 2.623999956995249e-06
%fs 2.495999913662672e-06
%fs 5.4400000721216206e-05
%fs 5.3920000791549686e-05
%fs 5.190400034189224e-05
%fs 2.431999891996384e-06
%fs 2.5599999353289604e-06
%fs 5.567999929189682e-05
%fs 2.655999967828393e-06
%fs 3.0720001086592673e-06
%fs 5.4719999432563783e-05
%fs 5.455999821424484e-05
%fs 5.350400134921074e-05
%fs 2.431999891996384e-06
%fs 2.527999924495816e-06
%fs 5.689600110054016e-05
%fs 2.5599999353289604e-06
%fs 2.4000001139938832e-06
%fs 5.500800162553787e-05
%fs 6.009599938988686e-05
%fs 5.289600044488907e-05
%fs 2.368000103160739e-06
%fs 2.431999891996384e-06
%fs 6.419199705123901e-05
%fs 2.431999891996384e-06
%fs 2.623999956995249e-06
%fs 5.4016001522541044e-05
%fs 5.4496001452207564e-05
%fs 5.142400041222572e-05
%fs 5.315199866890907e-05
%fs 2.5599999353289604e-06
%fs 2.208000048995018e-06
%fs 5.5904000997543335e-05
%fs 2.623999956995249e-06
%fs 2.78400001116097e-06
%fs 5.455999821424484e-05
%fs 5.798399820923806e-05
%fs 5.567999929189682e-05
%fs 2.463999902829528e-06
%fs 2.463999902829528e-06
%fs 6.143999844789505e-05
%fs 2.623999956995249e-06
%fs 2.431999891996384e-06
%fs 5.4016001522541044e-05
%fs 5.9007998555898666e-05
%fs 5.027199909090996e-05
%fs 5.219199880957604e-05
%fs 5.648000165820122e-05
%fs 5.567999929189682e-05
%fs 2.687999978661537e-06
%fs 2.3360000923275947e-06
%fs 5.769599974155426e-05
%fs 2.463999902829528e-06
%fs 2.368000103160739e-06
%fs 5.792000144720078e-05
%fs 5.529600009322167e-05
%fs 5.142400041222572e-05
%fs 4.950400069355965e-05
%fs 2.5599999353289604e-06
%fs 2.431999891996384e-06
%fs 5.507199838757515e-05
%fs 2.431999891996384e-06
%fs 2.2720000706613066e-06
%fs 5.7055998593568806e-05
%fs 5.955199897289276e-05
%fs 5.7344000786542894e-05
%fs 2.431999891996384e-06
%fs 2.431999891996384e-06
%fs 6.207999959588052e-05
%fs 2.3360000923275947e-06
%fs 2.495999913662672e-06
%fs 5.382400006055832e-05
%fs 5.571199953556061e-05
%fs 5.337600037455559e-05
%fs 2.5599999353289604e-06
%fs 2.3040000814944505e-06
%fs 5.60000017285347e-05
%fs 2.7520000003278255e-06
%fs 2.4000001139938832e-06
%fs 5.465599894523621e-05
%fs 5.196800082921982e-05
%fs 5.526399984955788e-05
%fs 5.51999993622303e-05
%fs 2.880000043660402e-06
%fs 2.2400000598281624e-06
%fs 6.006399914622307e-05
%fs 2.176000038161874e-06
%fs 2.431999891996384e-06
%fs 5.33440001308918e-05
%fs 5.798399820923806e-05
%fs 5.503999814391136e-05
%fs 2.5599999353289604e-06
%fs 2.7520000003278255e-06
%fs 6.05119988322258e-05
%fs 2.527999924495816e-06
%fs 2.2720000706613066e-06
%fs 5.4944001138210295e-05
%fs 5.321599915623665e-05
%fs 5.382400006055832e-05
%fs 2.5599999353289604e-06
%fs 2.3040000814944505e-06
%fs 5.385600030422211e-05
%fs 2.5599999353289604e-06
%fs 2.431999891996384e-06
%fs 8.531200140714645e-05
%fs 5.3952001035213474e-05
%fs 5.1839999854564665e-05
%fs 2.431999891996384e-06
%fs 2.3040000814944505e-06
%fs 5.747200176119805e-05
%fs 2.78400001116097e-06
%fs 2.431999891996384e-06
%fs 5.51999993622303e-05
%fs 5.286400020122528e-05
%fs 5.350400134921074e-05
%fs 2.1120000164955853e-06
%fs 3.103999886661768e-06
%fs 5.897599831223488e-05
%fs 2.527999924495816e-06
 12%|█▏        | 4/33 [00:00<00:00, 30.41it/s]%fs 2.623999956995249e-06
%fs 5.6095998734235766e-05
%fs 5.25440014898777e-05
%fs 5.382400006055832e-05
%fs 5.2223999053239826e-05
%fs 2.7199999894946813e-06
%fs 2.431999891996384e-06
%fs 5.503999814391136e-05
%fs 2.9120000544935464e-06
%fs 2.5599999353289604e-06
%fs 5.430399999022484e-05
%fs 6.0736000537872314e-05
%fs 5.795200169086457e-05
%fs 2.3040000814944505e-06
%fs 3.6480000708252194e-06
%fs 7.414399832487107e-05
%fs 3.83999990299344e-06
%fs 3.5200000274926424e-06
%fs 6.719999760389328e-05
%fs 6.172800064086914e-05
%fs 6.233600154519081e-05
%fs 5.4719999432563783e-05
%fs 5.772799998521805e-05
%fs 6.297600269317628e-05
%fs 3.0400000978261235e-06
%fs 2.431999891996384e-06
%fs 5.907199904322624e-05
%fs 2.5599999353289604e-06
%fs 3.0400000978261235e-06
%fs 0.00025468799471855164
%fs 1.8176000565290453e-05
%fs 6.681600213050842e-05
%fs 6.537599861621857e-05
%fs 1.5360000543296336e-06
%fs 1.440000021830201e-06
%fs 5.7792000472545626e-05
%fs 1.440000021830201e-06
%fs 1.440000021830201e-06
%fs 5.548800155520439e-05
%fs 6.012799963355065e-05
%fs 5.60000017285347e-05
%fs 1.567999948747456e-06
%fs 1.440000021830201e-06
%fs 5.939200147986412e-05
%fs 1.5360000543296336e-06
%fs 1.440000021830201e-06
%fs 5.2767999470233916e-05
%fs 5.523199960589409e-05
%fs 5.270399898290634e-05
%fs 1.440000021830201e-06
%fs 1.4720000326633453e-06
%fs 5.881600081920624e-05
%fs 1.4720000326633453e-06
%fs 1.440000021830201e-06
%fs 6.467200070619584e-05
%fs 6.307200342416763e-05
%fs 6.63679987192154e-05
%fs 6.675200164318084e-05
%fs 3.616000059992075e-06
%fs 1.440000021830201e-06
%fs 6.137600168585777e-05
%fs 3.5200000274926424e-06
%fs 1.5040000434964896e-06
%fs 5.648000165820122e-05
%fs 5.737600103020668e-05
%fs 5.692800134420395e-05
%fs 1.4720000326633453e-06
%fs 1.4720000326633453e-06
%fs 6.032000109553337e-05
%fs 1.440000021830201e-06
%fs 1.440000021830201e-06
%fs 5.567999929189682e-05
%fs 5.3952001035213474e-05
%fs 5.1392000168561934e-05
%fs 1.440000021830201e-06
%fs 1.440000021830201e-06
%fs 5.5135998874902726e-05
%fs 1.5040000434964896e-06
%fs 1.4720000326633453e-06
%fs 5.292800068855286e-05
%fs 5.238400027155876e-05
%fs 5.292800068855286e-05
%fs 1.4720000326633453e-06
%fs 1.567999948747456e-06
%fs 5.792000144720078e-05
%fs 3.7440001033246518e-06
%fs 4.544000141322613e-06
%fs 7.596799731254578e-05
%fs 0.0009304000139236451
%fs 5.25440014898777e-05
%fs 1.5360000543296336e-06
%fs 1.5360000543296336e-06
%fs 6.380800157785416e-05
%fs 1.5040000434964896e-06
%fs 1.567999948747456e-06
%fs 5.555199831724167e-05
%fs 5.196800082921982e-05
%fs 5.193600058555603e-05
%fs 5.091200023889542e-05
%fs 1.5360000543296336e-06
%fs 1.5360000543296336e-06
%fs 5.62559999525547e-05
%fs 1.567999948747456e-06
%fs 1.5360000543296336e-06
%fs 5.3247999399900436e-05
%fs 5.94559982419014e-05
%fs 5.792000144720078e-05
%fs 1.440000021830201e-06
%fs 1.5360000543296336e-06
%fs 6.0736000537872314e-05
%fs 1.440000021830201e-06
%fs 9.056000038981438e-06
%fs 5.5615998804569246e-05
%fs 5.292800068855286e-05
%fs 5.3279999643564224e-05
%fs 6.284800171852112e-05
%fs 6.995200365781785e-05
%fs 6.396800279617309e-05
%fs 1.5360000543296336e-06
%fs 1.440000021830201e-06
%fs 2.019199915230274e-05
%fs 1.5040000434964896e-06
%fs 1.7920000245794654e-06
%fs 5.2799999713897704e-05
%fs 5.3727999329566956e-05
%fs 5.14880008995533e-05
%fs 5.071999877691269e-05
%fs 1.567999948747456e-06
%fs 1.5360000543296336e-06
%fs 5.503999814391136e-05
%fs 1.567999948747456e-06
%fs 1.5040000434964896e-06
%fs 5.526399984955788e-05
%fs 5.961599946022034e-05
%fs 5.792000144720078e-05
%fs 1.7600000137463212e-06
%fs 1.5360000543296336e-06
%fs 6.038400158286095e-05
%fs 1.5360000543296336e-06
%fs 1.5040000434964896e-06
%fs 5.363199859857559e-05
%fs 5.552000179886818e-05
%fs 5.5456001311540604e-05
%fs 1.4720000326633453e-06
%fs 1.5360000543296336e-06
%fs 6.598400324583054e-05
%fs 4.544000141322613e-06
%fs 1.5360000543296336e-06
%fs 6.0736000537872314e-05
%fs 5.2992001175880435e-05
%fs 5.776000022888184e-05
%fs 5.51999993622303e-05
%fs 1.6319999704137446e-06
%fs 1.5040000434964896e-06
%fs 5.884800106287003e-05
%fs 1.5360000543296336e-06
%fs 1.5040000434964896e-06
%fs 5.699200183153153e-05
%fs 5.632000043988228e-05
%fs 5.5167999118566515e-05
%fs 1.5040000434964896e-06
%fs 1.440000021830201e-06
%fs 6.137600168585777e-05
%fs 2.463999902829528e-06
%fs 2.495999913662672e-06
%fs 5.3952001035213474e-05
%fs 5.25440014898777e-05
%fs 5.161599814891815e-05
%fs 2.431999891996384e-06
%fs 1.5040000434964896e-06
%fs 3.0720001086592673e-06
%fs 1.9519999623298645e-06
%fs 1.5040000434964896e-06
%fs 5.57439997792244e-05
%fs 5.3472001105546954e-05
%fs 5.167999863624573e-05
